lat,long
31.49706,-108.2085
31.49715,-108.2093
31.49716,-108.21014
31.49729,-108.21096
31.49747,-108.21175
31.49765,-108.21255
31.49777,-108.21338
31.49777,-108.21422
31.49773,-108.21506
31.49751,-108.21584
31.49732,-108.21662
31.4972,-108.21744
31.49713,-108.21826
31.4968,-108.219
31.4965,-108.21976
31.49624,-108.22055
31.49586,-108.22126
31.49545,-108.22192
31.4956,-108.22264
31.49588,-108.22341
31.49617,-108.22419
31.49644,-108.22498
31.49671,-108.22575
31.49701,-108.22652
31.49732,-108.22728
31.49771,-108.22798
31.49803,-108.22874
31.49838,-108.22946
31.49871,-108.23015
31.4991,-108.23086
31.49947,-108.23157
31.49972,-108.23236
31.49991,-108.23317
31.50017,-108.23395
31.50041,-108.23474
31.50058,-108.23556
31.50082,-108.23635
31.50113,-108.23712
31.50142,-108.2379
31.50176,-108.23861
31.50213,-108.23933
31.50248,-108.24004
31.50281,-108.24078
31.50317,-108.2415
31.50382,-108.24186
31.50403,-108.24264
31.50421,-108.24345
31.50433,-108.24427
31.50422,-108.2451
31.50436,-108.24592
31.5046,-108.24672
31.50486,-108.24751
31.50518,-108.24827
31.50551,-108.24902
31.50584,-108.24978
31.50615,-108.25054
31.50648,-108.2513
31.50681,-108.25205
31.50716,-108.25279
31.50758,-108.25349
31.50799,-108.25418
31.50844,-108.25484
31.5089,-108.2555
31.50936,-108.25616
31.50976,-108.25686
31.51006,-108.25763
31.51033,-108.25842
31.5106,-108.2592
31.51087,-108.25999
31.51115,-108.26077
31.51147,-108.26153
31.51173,-108.26231
31.51195,-108.26311
31.51228,-108.26386
31.51275,-108.2645
31.51344,-108.26473
31.51409,-108.2651
31.51469,-108.26556
31.5152,-108.26615
31.51576,-108.2667
31.51622,-108.26733
31.51623,-108.26816
31.51601,-108.26896
31.51601,-108.26978
31.51612,-108.27062
31.51628,-108.27144
31.51655,-108.27222
31.51694,-108.27293
31.51741,-108.27358
31.51785,-108.27425
31.5183,-108.27491
31.51875,-108.27557
31.51921,-108.27623
31.51965,-108.2769
31.52018,-108.27745
31.52074,-108.27795
31.52142,-108.27824
31.52207,-108.27861
31.52272,-108.27898
31.5234,-108.27926
31.52388,-108.27985
31.5243,-108.28054
31.52479,-108.28115
31.52521,-108.28184
31.52558,-108.28257
31.52619,-108.28299
31.52677,-108.28349
31.52742,-108.28386
31.52809,-108.28418
31.52879,-108.28437
31.52945,-108.2847
31.53008,-108.28513
31.53072,-108.28551
31.53137,-108.28589
31.5319,-108.28644
31.53241,-108.28704
31.53293,-108.28763
31.53351,-108.28812
31.53411,-108.2886
31.53471,-108.28907
31.53526,-108.2896
31.53589,-108.29002
31.53654,-108.29041
31.53709,-108.29094
31.53758,-108.29156
31.53803,-108.29222
31.53854,-108.29281
31.53917,-108.29322
31.53984,-108.29352
31.54042,-108.29402
31.54105,-108.29443
31.54169,-108.29481
31.5424,-108.29491
31.5431,-108.29508
31.54381,-108.29525
31.5445,-108.29549
31.54521,-108.29564
31.5459,-108.29588
31.54657,-108.29621
31.54716,-108.29668
31.54781,-108.29705
31.54844,-108.29734
31.54894,-108.29795
31.54953,-108.29844
31.55015,-108.29888
31.5508,-108.29923
31.55147,-108.29954
31.55213,-108.29988
31.55263,-108.30048
31.55291,-108.30122
31.55346,-108.30139
31.55415,-108.30159
31.55475,-108.30206
31.55543,-108.30226
31.55586,-108.30288
31.55609,-108.30367
31.55668,-108.30415
31.55715,-108.30478
31.5575,-108.30552
31.55763,-108.30635
31.55806,-108.30696
31.55871,-108.30733
31.55934,-108.30771
31.55972,-108.30843
31.56009,-108.30916
31.5605,-108.30981
31.56119,-108.30967
31.56184,-108.31001
31.5621,-108.31077
31.56259,-108.31139
31.56328,-108.31159
31.56381,-108.31216
31.56395,-108.31295
31.56434,-108.31359
31.56491,-108.3141
31.56557,-108.31446
31.56605,-108.31504
31.5666,-108.31558
31.56691,-108.31634
31.56728,-108.31676
31.56744,-108.31746
31.56812,-108.3177
31.56856,-108.31834
31.56879,-108.31914
31.56899,-108.31994
31.56901,-108.32076
31.5693,-108.32153
31.56935,-108.32235
31.56922,-108.32317
31.56901,-108.32398
31.56881,-108.32477
31.56866,-108.32559
31.56819,-108.32621
31.56839,-108.32685
31.56897,-108.32651
31.56965,-108.32672
31.57026,-108.32716
31.57078,-108.32774
31.57123,-108.32839
31.57186,-108.32878
31.57248,-108.32918
31.57316,-108.32926
31.57369,-108.32875
31.57432,-108.32865
31.57496,-108.32904
31.57556,-108.32933
31.5762,-108.32971
31.57682,-108.33013
31.57739,-108.33064
31.5779,-108.33116
31.57857,-108.33147
31.57927,-108.33158
31.57988,-108.33121
31.58053,-108.33083
31.5812,-108.33073
31.58191,-108.33072
31.58256,-108.33107
31.58316,-108.33151
31.58378,-108.3319
31.58438,-108.33236
31.58509,-108.33249
31.58556,-108.33308
31.58607,-108.33364
31.58677,-108.33383
31.58738,-108.33421
31.58792,-108.33476
31.58836,-108.33538
31.5888,-108.33605
31.58936,-108.33654
31.59005,-108.33644
31.5906,-108.33608
31.59093,-108.33535
31.59145,-108.33477
31.5918,-108.33405
31.59235,-108.33362
31.593,-108.33395
31.59347,-108.3335
31.59404,-108.33302
31.59448,-108.33235
31.59509,-108.33208
31.59564,-108.33248
31.59632,-108.33265
31.59696,-108.3323
31.59741,-108.33164
31.59775,-108.33098
31.59754,-108.33017
31.59763,-108.32941
31.59815,-108.32884
31.59849,-108.3281
31.5988,-108.32734
31.59862,-108.32656
31.59834,-108.32579
31.59833,-108.32495
31.59865,-108.32425
31.59933,-108.32399
31.59981,-108.32338
31.60033,-108.32284
31.60095,-108.3224
31.60105,-108.32162
31.60066,-108.32095
31.6008,-108.32016
31.60074,-108.31933
31.6007,-108.31849
31.60046,-108.31773
31.6002,-108.31697
31.60029,-108.3162
31.60005,-108.31541
31.60006,-108.31457
31.6005,-108.31397
31.60104,-108.31346
31.60162,-108.31294
31.60225,-108.31268
31.60291,-108.31236
31.60361,-108.31216
31.6043,-108.31192
31.60487,-108.31143
31.60556,-108.31154
31.60626,-108.31176
31.60693,-108.31201
31.60724,-108.31266
31.60781,-108.31309
31.6083,-108.31369
31.60881,-108.31421
31.60908,-108.31495
31.60962,-108.3155
31.61019,-108.31599
31.6107,-108.31655
31.6112,-108.31709
31.61181,-108.31749
31.6124,-108.31794
31.61302,-108.31827
31.61361,-108.31872
31.61418,-108.31913
31.61479,-108.3195
31.6154,-108.31993
31.61601,-108.32038
31.61659,-108.32086
31.6172,-108.32125
31.61768,-108.32184
31.61826,-108.32233
31.6188,-108.32285
31.61929,-108.32345
31.61958,-108.32421
31.6199,-108.32496
31.62032,-108.3256
31.62095,-108.326
31.62154,-108.32647
31.62215,-108.3268
31.62274,-108.32727
31.62317,-108.32791
31.62334,-108.32868
31.62383,-108.32926
31.62431,-108.32978
31.62479,-108.33028
31.62536,-108.33077
31.62595,-108.33124
31.6265,-108.33171
31.627,-108.33228
31.6274,-108.33295
31.62787,-108.33359
31.62817,-108.33429
31.6287,-108.33476
31.62917,-108.33539
31.62964,-108.33602
31.63026,-108.33641
31.63081,-108.33685
31.63152,-108.3369
31.63222,-108.33692
31.63291,-108.33696
31.63345,-108.33685
31.63408,-108.33685
31.63468,-108.33728
31.63532,-108.33764
31.636,-108.33791
31.63659,-108.33799
31.63718,-108.33841
31.63773,-108.33889
31.63838,-108.33922
31.63903,-108.33928
31.63965,-108.33956
31.64029,-108.33993
31.64076,-108.34048
31.64112,-108.34111
31.64148,-108.34184
31.64193,-108.34249
31.64235,-108.34314
31.64272,-108.34375
31.64311,-108.34441
31.64338,-108.34518
31.64367,-108.34586
31.64338,-108.34661
31.64338,-108.34744
31.64335,-108.34828
31.64292,-108.34856
31.64351,-108.34897
31.64417,-108.34929
31.64472,-108.34977
31.64522,-108.35037
31.64575,-108.35094
31.64612,-108.3515
31.64683,-108.35147
31.64755,-108.35152
31.6482,-108.35184
31.6489,-108.35192
31.64959,-108.35188
31.65023,-108.35165
