x,y,exact_elev,elev,date,field_notes,site,time_freeze,field_ID,sex,ID,extract_day1,notes
-107.3554306,39.39437,,2700m,8/7/22,10:15am,Babbit Gulch,,BG-1,male,BG1,9/22/22,
-107.38409,39.39481,,2700m,8/8/22,,Babbit Gulch,,BG-10,male,BG10,9/22/22,
-107.38425,39.39411,,2700m,8/8/22,,Babbit Gulch,,BG-11,male,BG11,9/22/22,
-107.38394,39.39407,,2700m,8/8/22,,Babbit Gulch,,BG-12,male,BG12,9/22/22,
-107.38525,39.39448,,2700m,8/8/22,,Babbit Gulch,,BG-14,female,BG14,9/22/22,
-107.38876,39.39423,,2700m,8/8/22,,Babbit Gulch,,BG-15,male,BG13,9/22/22,
-107.38862,39.39427,,2700m,8/8/22,,Babbit Gulch,,BG-13,male,BG16,9/22/22,
-107.38535,39.39425,,2700m,8/8/22,,Babbit Gulch,,BG-17,male,BG17,9/22/22,
-107.3924103,39.39009,,2700m,8/8/22,,Babbit Gulch,,BG-18,male,BG18,9/22/22,
-107.3922,39.38936,,2700m,8/8/22,,Babbit Gulch,,BG-19,female,BG19,9/22/22,
-107.35502,39.39389038,,2700m,8/7/22,,Babbit Gulch,,BG-2,male,BG02,9/22/22,
-107.39404,39.38871002,,2700m,8/8/22,,Babbit Gulch,,BG-20,male,BG20,9/22/22,
-107.39153,39.38991,,2700m,8/8/22,,Babbit Gulch,,BG-21,male,BG8,9/22/22,
-107.39159,39.38952,,2700m,8/8/22,3:15 end,Babbit Gulch,,BG-22,male,BG15,9/22/22,
-107.35593,39.39921,,2700m,8/7/22,11:05am,Babbit Gulch,,BG-3,male,BG3,9/22/22,
-107.36668,39.40173,,2700m,8/7/22,,Babbit Gulch,,BG-4,male,BG4,9/22/22,
-107.3665378,39.40171168,,2700m,8/7/22,,Babbit Gulch,,BG-5,male,BG5,9/22/22,
-107.366539,39.40165,,2700m,8/7/22,,Babbit Gulch,,BG-6,male,BG6,9/22/22,
-107.38487,39.39402008,,2700m,8/8/22,,Babbit Gulch,,BG-7,male,BG7,9/22/22,
-107.38422,39.39462,,2700m,8/8/22,,Babbit Gulch,,BG-8,NA,NA,9/22/22,
-107.38409,39.39503098,,2700m,8/8/22,,Babbit Gulch,,BG-9,male,BG9,9/22/22,
-105.619122,40.35882,2487.065186,high,6/22/22,,Moraine Park,,CL1,NA,NA,,
-105.619215,40.358881,2488.074219,high,6/22/22,,Moraine Park,,CL2,NA,NA,,
-105.616618,40.357137,2483.951172,high,6/22/22,,Moraine Park,,CL3,NA,NA,,
-105.615628,40.359828,2425.437988,high,6/24/22,,Moraine Park,,CL4,NA,NA,,
-105.616283,40.359879,2497.30542,high,6/24/22,,Moraine Park,,CL5,NA,NA,,
-105.613293,40.359097,2498.081055,high,6/24/22,,Moraine Park,,CL6,NA,NA,,
-107.195934,40.484088,2009.235596,2009,7/12/22,,Carpenter Ranch,,CR1,NA,NA,,
-107.196208,40.483764,1985.858887,1986,7/12/22,,Carpenter Ranch,,CR2,male,CR2,,
-107.196275,40.484059,1983.624878,1984,7/12/22,,Carpenter Ranch,,CR3,NA,NA,,
-107.19575,40.483778,1984.838013,1985,7/12/22,,Carpenter Ranch,,CR4,male,CR4,,
-107.195667,40.483626,1984.790405,1985,7/12/22,,Carpenter Ranch,,CR5,male,CR5,,
-107.195523,40.483189,1985.561157,1986,7/12/22,,Carpenter Ranch,,CR6,NA,NA,,
-107.195534,40.483121,1986.197021,1986,7/12/22,,Carpenter Ranch,,CR7,female,CR7,,
-107.195143,40.482706,1987.574585,1988,7/12/22,,Carpenter Ranch,,CR8,NA,NA,,
-107.195152,40.482175,1989.253174,1989,7/12/22,,Carpenter Ranch,,CR9,male,CR9,,
-107.195288,40.481948,1991.868286,1992,7/12/22,,Carpenter Ranch,,CR10,NA,NA,,
-107.195302,40.482023,1991.385376,1991,7/12/22,,Carpenter Ranch,,CR11,male,CR11,,
-107.198714,40.482176,2003.39856,2003,7/12/22,,Carpenter Ranch,,CR12,NA,NA,,
-107.198221,40.482532,2002.043091,2002,7/12/22,,Carpenter Ranch,,CR13,male,CR13,,
-107.197976,40.482447,1998.602539,1999,7/12/22,,Carpenter Ranch,,CR14,NA,NA,,
-107.197936,40.482479,1997.794678,1998,7/12/22,,Carpenter Ranch,,CR15,male,CR15,,
-107.198451,40.482433,2002.472046,2002,7/12/22,,Carpenter Ranch,,CR16,male,CR16,,
-107.19857,40.482275,2002.939087,2003,7/12/22,,Carpenter Ranch,,CR17,male,CR17,,
-107.198643,40.483123,2003.406494,2003,7/12/22,,Carpenter Ranch,,CR18,male,CR18,,
-107.199103,40.483944,2002.860229,2003,7/12/22,,Carpenter Ranch,,"CR19,20",male,CR19,,
-107.199103,40.483944,2002.860229,2003,7/12/22,,Carpenter Ranch,,"CR19,20",male,CR20,,
-107.199531,40.484393,2003.89917,2004,7/12/22,,Carpenter Ranch,,CR21,male,CR01,,
-107.199426,40.483564,2004.244385,2004,7/12/22,,Carpenter Ranch,,CR22&23,male,CR3,,
-107.199426,40.483564,2004.244385,2004,7/12/22,,Carpenter Ranch,,CR22&23,male,CR6,,
-107.1998596,40.48171,,,7/13/22,,Carpenter Ranch,,CR24,male,CR8,,
-107.19807,40.4825,,,7/13/22,,Carpenter Ranch,,CR25,NA,NA,,
-107.19978,40.48171997,,,7/13/22,,Carpenter Ranch,,"CR26,27",male,CR12,,
-107.19978,40.48171997,,,7/13/22,,Carpenter Ranch,,"CR26,27",male,CR10,,
-107.19861,40.4822998,,,7/13/22,,Carpenter Ranch,,CR-28,female,CR14,,
-105.26971,40.15433,,1720m,7/13/22,,D Loukonen Farm,,DL-1,NA,NA,,
