"","ID","x","y","exact_elev","elev","date","field_notes","site","time_freeze","field_ID","sex","extract_day1","notes","tmax","precip","wind","srad"
"1","BG02",-107.35502,39.39389038,NA,"2700m","8/7/22","","Babbit Gulch","","BG-2","male","9/22/22","",22.3999996185303,36.6666679382324,3.06666660308838,23781.333984375
"2","BG13",-107.38876,39.39423,NA,"2700m","8/8/22","","Babbit Gulch","","BG-15","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"3","BG14",-107.38525,39.39448,NA,"2700m","8/8/22","","Babbit Gulch","","BG-14","female","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"4","BG15",-107.39159,39.38952,NA,"2700m","8/8/22","3:15 end","Babbit Gulch","","BG-22","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23776.666015625
"5","BG16",-107.38862,39.39427,NA,"2700m","8/8/22","","Babbit Gulch","","BG-13","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"6","BG18",-107.3924103,39.39009,NA,"2700m","8/8/22","","Babbit Gulch","","BG-18","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23811
"7","BG20",-107.39404,39.38871002,NA,"2700m","8/8/22","","Babbit Gulch","","BG-20","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23811
"8","BG3",-107.35593,39.39921,NA,"2700m","8/7/22","11:05am","Babbit Gulch","","BG-3","male","9/22/22","",22.3999996185303,36.6666679382324,3.06666660308838,23781.333984375
"9","BG5",-107.3665378,39.40171168,NA,"2700m","8/7/22","","Babbit Gulch","","BG-5","male","9/22/22","",22.2666664123535,37,3.06666660308838,23814.666015625
"10","BG7",-107.38487,39.39402008,NA,"2700m","8/8/22","","Babbit Gulch","","BG-7","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"11","BG8",-107.39153,39.38991,NA,"2700m","8/8/22","","Babbit Gulch","","BG-21","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23776.666015625
"12","CR01",-107.199531,40.484393,2003.89917,"2004","7/12/22","","Carpenter Ranch","","CR21","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"13","CR11",-107.195302,40.482023,1991.385376,"1991","7/12/22","","Carpenter Ranch","","CR11","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"14","CR12",-107.19978,40.48171997,NA,"","7/13/22","","Carpenter Ranch","","CR26,27","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"15","CR15",-107.197936,40.482479,1997.794678,"1998","7/12/22","","Carpenter Ranch","","CR15","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"16","CR16",-107.198451,40.482433,2002.472046,"2002","7/12/22","","Carpenter Ranch","","CR16","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"17","CR17",-107.19857,40.482275,2002.939087,"2003","7/12/22","","Carpenter Ranch","","CR17","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"18","CR18",-107.198643,40.483123,2003.406494,"2003","7/12/22","","Carpenter Ranch","","CR18","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"19","CR20",-107.199103,40.483944,2002.860229,"2003","7/12/22","","Carpenter Ranch","","CR19,20","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"20","CR3",-107.199426,40.483564,2004.244385,"2004","7/12/22","","Carpenter Ranch","","CR22&23","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"21","CR5",-107.195667,40.483626,1984.790405,"1985","7/12/22","","Carpenter Ranch","","CR5","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"22","CR8",-107.1998596,40.48171,NA,"","7/13/22","","Carpenter Ranch","","CR24","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"23","CR9",-107.195152,40.482175,1989.253174,"1989","7/12/22","","Carpenter Ranch","","CR9","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"24","DL1",-106.620837,40.415311,2994.57251,"2995","6/29/22","","Dumont Lake","within 48hr","DL29","female","9/20/22","",19.0666656494141,53,3.73333334922791,23329.666015625
"25","DL10",-106.621041,40.41758,3004.352051,"3004","6/29/22","","Dumont Lake","within 48hr","DL25","male","9/20/22","",18.7000007629395,53.3333320617676,3.73333334922791,23300.666015625
"26","DL13",-106.623356,40.398333,2884.047607,"2884","6/29/22","","Dumont Lake","within 48hr","DL8,9","female","9/20/22","",19.7000007629395,53,3.63333344459534,23336.333984375
"27","DL14",-106.625411,40.395952,2877.615479,"2878","6/29/22","","Dumont Lake","within 48hr","DL11","male","9/20/22","",19.6666660308838,53,3.63333344459534,23369.333984375
